case,twist,youngs_modulus,base_radius,density,coner_angle,length,tgt_dir
1,-8.611093929946971,0.00333421860274377,2.221018286231589,1.2673482382305e-06,2.9019187187867255,167.66914394980756,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.31690078556992374) np.float64(0.9219543555527769)
  np.float64(-0.22265232624526743)]]"
1,-4.568474982014661,0.0039405746842764615,2.242014023245071,1.2370009287469727e-06,3.971236544667491,164.68199341945177,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.22486469298168865) np.float64(0.9272872037401735)
  np.float64(-0.299289678455474)]]"
1,9.242593234025296,0.003755522210297527,2.607352845999669,1.3148052980168797e-06,8.476794261248198,174.86361123013887,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.35686396161199296) np.float64(0.925030142370366)
  np.float64(-0.1302587755541043)]]"
1,6.578320630453767,0.003922781562236187,2.5218581141138414,1.3346755019300855e-06,5.338432875715169,174.58379895909937,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.22039034890955936) np.float64(0.9567065225347237)
  np.float64(-0.1901071378119164)]]"
1,8.17343817816922,0.003703392322939983,2.3765395449850635,1.2525081394396428e-06,8.553992816800331,158.84716680024317,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.13850141727757648) np.float64(0.9648401533415591)
  np.float64(-0.22338495005693537)]]"
1,5.222098117557962,0.0035253221332369336,2.6697911432820627,1.1418795805843647e-06,4.844490976825057,171.2675111036192,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.21235566593953414) np.float64(0.927372948429492)
  np.float64(-0.30803325415378097)]]"
1,4.842243641529613,0.003454441937876811,2.397208804895517,1.1917313973517978e-06,4.422475285135564,155.54679010508588,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3041368510848791) np.float64(0.9347993702268519)
  np.float64(-0.1834418524646303)]]"
1,-6.228166244958521,0.003799341448784268,2.461798980833628,1.2214552633860117e-06,9.57578501696144,160.29347510696974,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.42578903256426137) np.float64(0.8850884057232241)
  np.float64(-0.18794204905319034)]]"
1,-9.409666937238718,0.003408457900473057,2.432349449857899,1.2168269270639841e-06,7.097418212397772,157.1578990507803,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3442355539739642) np.float64(0.9267110600406163)
  np.float64(-0.15069337934572724)]]"
1,1.1048310008413473,0.0038622368821104613,2.3143255136167062,1.170623635238088e-06,5.630718696743386,150.84120530684916,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2930449675027954) np.float64(0.8910793701301332)
  np.float64(-0.34655764765731367)]]"
1,2.551493778872274,0.003714965027318963,2.589212346902357,1.1518728645215976e-06,1.3012540389782496,172.2260518832732,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2672494361140361) np.float64(0.9337967763074903)
  np.float64(-0.23791031809164753)]]"
1,3.0124104363285795,0.0034899715353183917,2.5017329862849413,1.3276312906325197e-06,9.39216581664974,149.40045403333036,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.38859877636306644) np.float64(0.9114401962245935)
  np.float64(-0.135158276532375)]]"
1,-1.228980138180816,0.0036278282192163365,2.6278641856206937,1.2018471455340489e-06,2.1362217689114478,162.05493560561257,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2970552299862899) np.float64(0.9113706848849918)
  np.float64(-0.28488886441918604)]]"
1,-7.423150248398587,0.003851090709919734,2.5678487615544316,1.1114729715063988e-06,3.2638555442054287,153.5563498759948,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.24616853603772465) np.float64(0.92090500345119)
  np.float64(-0.30221685340762766)]]"
1,-5.285787735416935,0.0033080146992627646,2.354676074633602,1.3471063766338939e-06,1.847749463504424,169.81368451860342,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3014055900326436) np.float64(0.9130183675248639)
  np.float64(-0.27486747872257733)]]"
1,0.5600699408980763,0.0032665338257392316,2.2897460888047996,1.159438252492317e-06,7.959452028616118,178.82968632869188,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.16556442563606977) np.float64(0.9682017722653421)
  np.float64(-0.18754665858406827)]]"
1,-3.4869801468421517,0.003586614193606978,2.2722257121945915,1.1238412674176199e-06,0.8166883582995279,166.30391557311282,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2676650653397804) np.float64(0.9264458976963985)
  np.float64(-0.2646760499897289)]]"
1,-0.09312027278922841,0.0035629998327154503,2.4291822573124775,1.284182338428338e-06,6.019662261792603,152.136203880416,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.17699580482165506) np.float64(0.9458350158988337)
  np.float64(-0.2721554845583454)]]"
1,-2.8626610291130907,0.003669993157058842,2.1978541259477757,1.2981062719130643e-06,6.588434237899041,176.5075765434326,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.1921485568739837) np.float64(0.9237615678770464)
  np.float64(-0.33127556173763634)]]"
1,7.694901079081625,0.0033492686124903456,2.5378041822075725,1.2582012150114558e-06,0.3564764265754288,147.70877601782894,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2824947058817162) np.float64(0.923331019517461)
  np.float64(-0.2601087648381904)]]"
2,-8.611093929946971,0.00333421860274377,2.221018286231589,1.2673482382305e-06,2.9019187187867255,167.66914394980756,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3869535106519272) np.float64(0.8869385665094669)
  np.float64(-0.2522042026459528)]]"
2,-4.568474982014661,0.0039405746842764615,2.242014023245071,1.2370009287469727e-06,3.971236544667491,164.68199341945177,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.42688693178478365) np.float64(0.866259247058137)
  np.float64(-0.25954279870118363)]]"
2,9.242593234025296,0.003755522210297527,2.607352845999669,1.3148052980168797e-06,8.476794261248198,174.86361123013887,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.38552125133651494) np.float64(0.8556148649226767)
  np.float64(-0.3453933521237452)]]"
2,6.578320630453767,0.003922781562236187,2.5218581141138414,1.3346755019300855e-06,5.338432875715169,174.58379895909937,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.37632820361196273) np.float64(0.879062100039522)
  np.float64(-0.29262075702229107)]]"
2,8.17343817816922,0.003703392322939983,2.3765395449850635,1.2525081394396428e-06,8.553992816800331,158.84716680024317,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.2638091649446459) np.float64(0.9497771091304106)
  np.float64(-0.16830973668534074)]]"
2,5.222098117557962,0.0035253221332369336,2.6697911432820627,1.1418795805843647e-06,4.844490976825057,171.2675111036192,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.37147822701872774) np.float64(0.9197036329368856)
  np.float64(-0.12707932331310637)]]"
2,4.842243641529613,0.003454441937876811,2.397208804895517,1.1917313973517978e-06,4.422475285135564,155.54679010508588,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.44977659584258917) np.float64(0.8582037651674274)
  np.float64(-0.24736069066184183)]]"
2,-6.228166244958521,0.003799341448784268,2.461798980833628,1.2214552633860117e-06,9.57578501696144,160.29347510696974,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.4503788649919527) np.float64(0.8235016087729581)
  np.float64(-0.3449695324473021)]]"
2,-9.409666937238718,0.003408457900473057,2.432349449857899,1.2168269270639841e-06,7.097418212397772,157.1578990507803,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.40029319091136684) np.float64(0.9128066198343844)
  np.float64(-0.08092858639888527)]]"
2,1.1048310008413473,0.0038622368821104613,2.3143255136167062,1.170623635238088e-06,5.630718696743386,150.84120530684916,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.48090195878651754) np.float64(0.8471748523261061)
  np.float64(-0.22589394773107796)]]"
2,2.551493778872274,0.003714965027318963,2.589212346902357,1.1518728645215976e-06,1.3012540389782496,172.2260518832732,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3904533350436054) np.float64(0.9021946421075326)
  np.float64(-0.1832785336742603)]]"
2,3.0124104363285795,0.0034899715353183917,2.5017329862849413,1.3276312906325197e-06,9.39216581664974,149.40045403333036,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.4988458456900943) np.float64(0.8121947645854849)
  np.float64(-0.3024772497522145)]]"
2,-1.228980138180816,0.0036278282192163365,2.6278641856206937,1.2018471455340489e-06,2.1362217689114478,162.05493560561257,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3856808583507438) np.float64(0.8912931537280642)
  np.float64(-0.2384256479897141)]]"
2,-7.423150248398587,0.003851090709919734,2.5678487615544316,1.1114729715063988e-06,3.2638555442054287,153.5563498759948,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.357670013581025) np.float64(0.9181347547560732)
  np.float64(-0.17058937098762839)]]"
2,-5.285787735416935,0.0033080146992627646,2.354676074633602,1.3471063766338939e-06,1.847749463504424,169.81368451860342,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.41572779493138623) np.float64(0.8921780941731255)
  np.float64(-0.17660308264324467)]]"
2,0.5600699408980763,0.0032665338257392316,2.2897460888047996,1.159438252492317e-06,7.959452028616118,178.82968632869188,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.5162795088131111) np.float64(0.8426728638148178)
  np.float64(-0.1528329590429572)]]"
2,-3.4869801468421517,0.003586614193606978,2.2722257121945915,1.1238412674176199e-06,0.8166883582995279,166.30391557311282,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3847697994484361) np.float64(0.9000145020106599)
  np.float64(-0.2047586325479685)]]"
2,-0.09312027278922841,0.0035629998327154503,2.4291822573124775,1.284182338428338e-06,6.019662261792603,152.136203880416,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3141711124850873) np.float64(0.9365016946337508)
  np.float64(-0.15575971246761988)]]"
2,-2.8626610291130907,0.003669993157058842,2.1978541259477757,1.2981062719130643e-06,6.588434237899041,176.5075765434326,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.48974969869921003) np.float64(0.8375373636624155)
  np.float64(-0.24223211408366893)]]"
2,7.694901079081625,0.0033492686124903456,2.5378041822075725,1.2582012150114558e-06,0.3564764265754288,147.70877601782894,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3960716394596255) np.float64(0.8940521662044029)
  np.float64(-0.20927967058694305)]]"
3,-8.611093929946971,0.00333421860274377,2.221018286231589,1.2673482382305e-06,2.9019187187867255,167.66914394980756,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6057195642069888) np.float64(0.7861489967997204)
  np.float64(-0.12277444509216404)]]"
3,-4.568474982014661,0.0039405746842764615,2.242014023245071,1.2370009287469727e-06,3.971236544667491,164.68199341945177,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6276149522712642) np.float64(0.7681348952199243)
  np.float64(-0.12676061861246413)]]"
3,9.242593234025296,0.003755522210297527,2.607352845999669,1.3148052980168797e-06,8.476794261248198,174.86361123013887,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6275383854663308) np.float64(0.7496479575234102)
  np.float64(-0.21029387662813712)]]"
3,6.578320630453767,0.003922781562236187,2.5218581141138414,1.3346755019300855e-06,5.338432875715169,174.58379895909937,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6599460250545683) np.float64(0.7435127567075916)
  np.float64(-0.10798159393041312)]]"
3,8.17343817816922,0.003703392322939983,2.3765395449850635,1.2525081394396428e-06,8.553992816800331,158.84716680024317,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6870366270389255) np.float64(0.7264871504215542)
  np.float64(0.014038994954998052)]]"
3,5.222098117557962,0.0035253221332369336,2.6697911432820627,1.1418795805843647e-06,4.844490976825057,171.2675111036192,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.589674563012225) np.float64(0.791700656202605)
  np.float64(-0.15966834596972013)]]"
3,4.842243641529613,0.003454441937876811,2.397208804895517,1.1917313973517978e-06,4.422475285135564,155.54679010508588,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6214336884390057) np.float64(0.7834456255817307)
  np.float64(-0.005755226315573514)]]"
3,-6.228166244958521,0.003799341448784268,2.461798980833628,1.2214552633860117e-06,9.57578501696144,160.29347510696974,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.4591510690331969) np.float64(0.8878579082476228)
  np.float64(-0.0298099072093193)]]"
3,-9.409666937238718,0.003408457900473057,2.432349449857899,1.2168269270639841e-06,7.097418212397772,157.1578990507803,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5521842937273425) np.float64(0.8113624990513306)
  np.float64(-0.19178999164194022)]]"
3,1.1048310008413473,0.0038622368821104613,2.3143255136167062,1.170623635238088e-06,5.630718696743386,150.84120530684916,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6434007849927516) np.float64(0.7655281088438164)
  np.float64(0.0014643909045157777)]]"
