case,twist,youngs_modulus,base_radius,density,coner_angle,length,scenario,tgt_dir
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,baseline,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0032445,2.43,1.23e-06,0.0,162.32,youngs_modulus_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.00342475,2.43,1.23e-06,0.0,162.32,youngs_modulus_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0037852500000000004,2.43,1.23e-06,0.0,162.32,youngs_modulus_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0039655,2.43,1.23e-06,0.0,162.32,youngs_modulus_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.1870000000000003,1.23e-06,0.0,162.32,base_radius_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.3085,1.23e-06,0.0,162.32,base_radius_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.5515000000000003,1.23e-06,0.0,162.32,base_radius_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.6730000000000005,1.23e-06,0.0,162.32,base_radius_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.1070000000000002e-06,0.0,162.32,density_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.1685000000000001e-06,0.0,162.32,density_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.2915e-06,0.0,162.32,density_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.3530000000000002e-06,0.0,162.32,density_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,146.088,length_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,154.20399999999998,length_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,170.436,length_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,178.55200000000002,length_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,baseline,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.0032445,2.43,1.23e-06,0.0,162.32,youngs_modulus_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.00342475,2.43,1.23e-06,0.0,162.32,youngs_modulus_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.0037852500000000004,2.43,1.23e-06,0.0,162.32,youngs_modulus_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.0039655,2.43,1.23e-06,0.0,162.32,youngs_modulus_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.1870000000000003,1.23e-06,0.0,162.32,base_radius_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.3085,1.23e-06,0.0,162.32,base_radius_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.5515000000000003,1.23e-06,0.0,162.32,base_radius_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.6730000000000005,1.23e-06,0.0,162.32,base_radius_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.1070000000000002e-06,0.0,162.32,density_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.1685000000000001e-06,0.0,162.32,density_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.2915e-06,0.0,162.32,density_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.3530000000000002e-06,0.0,162.32,density_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,146.088,length_-10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,154.20399999999998,length_-5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,170.436,length_5,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
2,0.0,0.003605,2.43,1.23e-06,0.0,178.55200000000002,length_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,baseline,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0032445,2.43,1.23e-06,0.0,162.32,youngs_modulus_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.00342475,2.43,1.23e-06,0.0,162.32,youngs_modulus_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0037852500000000004,2.43,1.23e-06,0.0,162.32,youngs_modulus_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0039655,2.43,1.23e-06,0.0,162.32,youngs_modulus_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.1870000000000003,1.23e-06,0.0,162.32,base_radius_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.3085,1.23e-06,0.0,162.32,base_radius_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.5515000000000003,1.23e-06,0.0,162.32,base_radius_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
